day,month,year,temp,RH,wind,rain,FFMC,DMC,DC,ISI,area
17,7,2012,29,70,14,0,82.8,9.4,34.1,3.2,3.6
18,7,2012,31,68,14,0,85.4,12.1,43.1,4.6,6
19,7,2012,35,59,17,0,88.1,12,52.8,7.7,10.9
20,7,2012,33,65,15,0.1,81.4,12.3,62.1,2.8,4
21,7,2012,33,70,17,0,85.4,18.5,71.5,5.2,8.8
22,7,2012,28,79,18,0.1,73.4,16.4,79.9,1.8,2.8
23,7,2012,27,66,22,0.4,68.2,10.5,71.3,1.8,2.1
24,7,2012,28,78,16,0.1,70,9.6,79.7,1.4,1.3
25,7,2012,31,65,18,0,84.3,12.5,88.7,4.8,7.3
26,7,2012,36,53,19,0,89.2,17.1,98.6,10,15.3
27,7,2012,36,48,13,0,90.3,22.2,108.5,8.7,15.3
28,7,2012,33,76,15,0,86.5,24.4,117.8,5.6,11.3
29,7,2012,32,73,15,0,86.6,26.7,127,5.6,11.9
30,7,2012,31,79,15,0,85.4,28.5,136,4.7,10.7
31,7,2012,35,64,17,0,87.2,31.9,145.7,6.8,15.7
1,8,2012,36,45,14,0,78.8,4.8,10.2,2,0.9
2,8,2012,35,55,12,0.4,78,5.8,10,1.7,0.8
3,8,2012,35,63,14,0.3,76.6,5.7,10,1.7,0.8
4,8,2012,34,69,13,0,85,8.2,19.8,4,3.9
5,8,2012,34,65,13,0,86.8,11.1,29.7,5.2,6.1
6,8,2012,32,75,14,0,86.4,13,39.1,5.2,6.8
7,8,2012,32,69,16,0,86.5,15.5,48.6,5.5,8
8,8,2012,32,60,18,0.3,77.1,11.3,47,2.2,2.6
9,8,2012,35,59,17,0,87.4,14.8,57,6.9,9.9
10,8,2012,35,55,14,0,88.9,18.6,67,7.4,11.6
11,8,2012,35,63,13,0,88.9,21.7,77,7.1,12.1
12,8,2012,35,51,13,0.3,81.3,15.6,75.1,2.5,4.2
13,8,2012,35,63,15,0,87,19,85.1,5.9,10.2
14,8,2012,33,66,14,0,87,21.7,94.7,5.7,10.6
15,8,2012,36,55,13,0.3,82.4,15.6,92.5,3.7,6.3
16,8,2012,36,61,18,0.3,80.2,11.7,90.4,2.8,4.2
17,8,2012,37,52,18,0,89.3,16,100.7,9.7,14.6
18,8,2012,36,54,18,0,89.4,20,110.9,9.7,16.1
19,8,2012,35,62,19,0,89.4,23.2,120.9,9.7,17.2
20,8,2012,35,68,19,0,88.3,25.9,130.6,8.8,16.8
21,8,2012,36,58,19,0,88.6,29.6,141.1,9.2,18.4
22,8,2012,36,55,18,0,89.1,33.5,151.3,9.9,20.4
23,8,2012,36,53,16,0,89.5,37.6,161.5,10.4,22.3
24,8,2012,34,64,14,0,88.9,40.5,171.3,9,20.9
25,8,2012,35,60,15,0,88.9,43.9,181.3,8.2,20.3
26,8,2012,31,78,18,0,85.8,45.6,190.6,4.7,13.7
27,8,2012,33,82,21,0,84.9,47,200.2,4.4,13.2
28,8,2012,34,64,16,0,89.4,50.2,210.4,7.3,19.9
29,8,2012,35,48,18,0,90.1,54.2,220.4,12.5,30.2
30,8,2012,35,70,17,0.8,72.7,25.2,180.4,1.7,4.2
31,8,2012,28,80,21,16.8,52.5,8.7,8.7,0.6,0.3
1,9,2012,25,76,17,7.2,46,1.3,7.5,0.2,0.1
2,9,2012,22,86,15,10.1,30.5,0.7,7,0,0
3,9,2012,25,78,15,3.8,42.6,1.2,7.5,0.1,0
4,9,2012,29,73,17,0.1,68.4,1.9,15.7,1.4,0.5
5,9,2012,29,75,16,0,80.8,3.4,24,2.8,1.7
6,9,2012,29,74,19,0.1,75.8,3.6,32.2,2.1,0.9
7,9,2012,31,71,17,0.3,69.6,3.2,30.1,1.5,0.6
8,9,2012,30,73,17,0.9,62,2.6,8.4,1.1,0.4
9,9,2012,30,77,15,1,56.1,2.1,8.4,0.7,0.2
10,9,2012,33,73,12,1.8,59.9,2.2,8.9,0.7,0.3
11,9,2012,30,77,21,1.8,58.5,1.9,8.4,1.1,0.3
12,9,2012,29,88,13,0,71,2.6,16.6,1.2,0.5
13,9,2012,25,86,21,4.6,40.9,1.3,7.5,0.1,0
14,9,2012,22,76,26,8.3,47.4,1.1,7,0.4,0.1
15,9,2012,24,82,15,0.4,44.9,0.9,7.3,0.2,0
16,9,2012,30,65,14,0,78.1,3.2,15.7,1.9,0.8
17,9,2012,31,52,14,0,87.7,6.4,24.3,6.2,5.9
18,9,2012,32,49,11,0,89.4,9.8,33.1,6.8,7.7
19,9,2012,29,57,14,0,89.3,12.5,41.3,7.8,9.7
20,9,2012,28,84,18,0,83.8,13.5,49.3,4.5,6.3
21,9,2012,31,55,11,0,87.8,16.5,57.9,5.4,8.3
22,9,2012,31,50,19,0.6,77.8,10.6,41.4,2.4,2.8
23,9,2012,32,54,11,0.5,73.7,7.9,30.4,1.2,0.7
24,9,2012,29,65,19,0.6,68.3,5.5,15.2,1.5,0.7
25,9,2012,26,81,21,5.8,48.6,3,7.7,0.4,0.1
26,9,2012,31,54,11,0,82,6,16.3,2.5,1.7
27,9,2012,31,66,11,0,85.7,8.3,24.9,4,4.1
28,9,2012,32,47,14,0.7,77.5,7.1,8.8,1.8,0.9
29,9,2012,26,80,16,1.8,47.4,2.9,7.7,0.3,0.1
30,9,2012,25,78,14,1.4,45,1.9,7.5,0.2,0.1
1,11,2012,32,71,12,0.7,57.1,2.5,8.2,0.6,0.2
2,11,2012,30,73,13,4,55.7,2.7,7.8,0.6,0.2
3,11,2012,29,80,14,2,48.7,2.2,7.6,0.3,0.1
4,11,2012,30,64,14,0,79.4,5.2,15.4,2.2,1
5,11,2012,32,60,14,0.2,77.1,6,17.6,1.8,0.9
6,11,2012,35,54,11,0.1,83.7,8.4,26.3,3.1,3.1
7,11,2012,35,44,17,0.2,85.6,9.9,28.9,5.4,6
8,11,2012,28,51,17,1.3,71.4,7.7,7.4,1.5,0.8
9,11,2012,27,59,18,0.1,78.1,8.5,14.7,2.4,1.9
10,11,2012,30,41,15,0,89.4,13.3,22.5,8.4,10
11,11,2012,31,42,21,0,90.6,18.2,30.5,13.4,16.7
12,11,2012,27,58,17,0,88.9,21.3,37.8,8.7,12.9
13,11,2012,30,52,15,2,72.3,11.4,7.8,1.4,0.9
14,11,2012,27,79,16,0.7,53.4,6.4,7.3,0.5,0.3
15,11,2012,28,90,15,0,66.8,7.2,14.7,1.2,0.6
16,11,2012,29,87,15,0.4,47.4,4.2,8,0.2,0.1
17,11,2012,31,69,17,4.7,62.2,3.9,8,1.1,0.4
18,11,2012,33,62,10,8.7,65.5,4.6,8.3,0.9,0.4
19,11,2012,32,67,14,4.5,64.6,4.4,8.2,1,0.4
20,11,2012,31,72,14,0.2,60.2,3.8,8,0.8,0.3
21,11,2012,32,55,14,0,86.2,8.3,18.4,5,4.9
22,11,2012,33,46,14,1.1,78.3,8.1,8.3,1.9,1.2
23,11,2012,33,59,16,0.8,74.2,7,8.3,1.6,0.8
24,11,2012,35,68,16,0,85.3,10,17,4.9,5.3
25,11,2012,34,70,16,0,86,12.8,25.6,5.4,6.7
26,11,2012,36,62,16,0,87.8,16.5,34.5,7,9.5
27,11,2012,36,55,15,0,89.1,20.9,43.3,8,12
28,11,2012,37,37,13,0,92.5,27.2,52.4,11.7,18.4
29,11,2012,37,36,13,0.6,86.2,17.9,36.7,4.8,7.2
30,11,2012,34,42,15,1.7,79.7,12,8.5,2.2,2.2
1,10,2012,28,58,18,2.2,63.7,3.2,8.5,1.2,0.5
2,10,2012,33,48,16,0,87.6,7.9,17.8,6.8,6.4
3,10,2012,34,56,17,0.1,84.7,9.7,27.3,4.7,5.2
4,10,2012,34,58,18,0,88,13.6,36.8,8,9.9
5,10,2012,34,45,18,0,90.5,18.7,46.4,11.3,15
6,10,2012,35,42,15,0.3,84.7,15.5,45.1,4.3,6.3
7,10,2012,38,43,13,0.5,85,13,35.4,4.1,5.2
8,10,2012,35,47,18,6,80.8,9.8,9.7,3.1,3
9,10,2012,36,43,15,1.9,82.3,9.4,9.9,3.2,3.1
10,10,2012,34,51,16,3.8,77.5,8,9.5,2,1.3
11,10,2012,34,56,15,2.9,74.8,7.1,9.5,1.6,0.8
12,10,2012,36,44,13,0,90.1,12.6,19.4,8.3,9.6
13,10,2012,39,45,13,0.6,85.2,11.3,10.4,4.2,4.7
14,10,2012,37,37,18,0.2,88.9,12.9,14.6 9,12.5,7.9
15,10,2012,34,45,17,0,90.5,18,24.1,10.9,14.1
16,10,2012,31,83,17,0,84.5,19.4,33.1,4.7,7.3
17,10,2012,32,81,17,0,84.6,21.1,42.3,4.7,7.7
18,10,2012,33,68,15,0,86.1,23.9,51.6,5.2,9.1
19,10,2012,34,58,16,0,88.1,27.8,61.1,7.3,13
20,10,2012,36,50,16,0,89.9,32.7,71,9.5,17.3
21,10,2012,36,29,18,0,93.9,39.6,80.6,18.5,30
22,10,2012,32,48,18,0,91.5,44.2,90.1,13.2,25.4
23,10,2012,31,71,17,0,87.3,46.6,99,6.9,16.3
24,10,2012,33,63,17,1.1,72.8,20.9,56.6,1.6,2.5
25,10,2012,39,64,9,1.2,73.8,11.7,15.9,1.1,0.7
26,10,2012,35,58,10,0.2,78.3,10.8,19.7,1.6,1
27,10,2012,29,87,18,0,80,11.8,28.3,2.8,3.2
28,10,2012,33,57,16,0,87.5,15.7,37.6,6.7,9
29,10,2012,34,59,16,0,88.1,19.5,47.2,7.4,10.9
30,10,2012,36,56,16,0,88.9,23.8,57.1,8.2,13.2
31,10,2012,37,55,15,0,89.3,28.3,67.2,8.3,14.5
1,12,2012,38,52,14,0,78.3,4.4,10.5,2,0.8
2,12,2012,40,34,14,0,93.3,10.8,21.4,13.8,13.5
3,12,2012,39,33,17,0,93.7,17.1,32.1,17.2,19.5
4,12,2012,38,35,15,0,93.8,23,42.7,15.7,20.9
5,12,2012,34,42,17,0.1,88.3,23.6,52.5,19,12.6
6,12,2012,30,54,14,3.1,70.5,11,9.1,1.3,0.8
7,12,2012,34,63,13,2.9,69.7,7.2,9.8,1.2,0.6
8,12,2012,37,56,11,0,87.4,11.2,20.2,5.2,5.9
9,12,2012,39,43,12,0,91.7,16.5,30.9,9.6,12.7
10,12,2012,39,39,15,0.2,89.3,15.8,35.4,8.2,10.7
11,12,2012,40,31,15,0,94.2,22.5,46.3,16.6,21.6
12,12,2012,39,21,17,0.4,93,18.4,41.5,15.5,18.8
13,12,2012,35,34,16,0.2,88.3,16.9,45.1,7.5,10.5
14,12,2012,37,40,13,0,91.9,22.3,55.5,10.8,15.7
15,12,2012,35,46,13,0.3,83.9,16.9,54.2,3.5,5.5
16,12,2012,40,41,10,0.1,92,22.6,65.1,9.5,14.8
17,12,2012,42,24,9,0,96,30.3,76.4,15.7,24
18,12,2012,37,37,14,0,94.3,35.9,86.8,16,26.3
19,12,2012,35,66,15,0.1,82.7,32.7,96.8,3.3,7.7
20,12,2012,36,81,15,0,83.7,34.4,107,3.8,9
21,12,2012,36,71,15,0,86,36.9,117.1,5.1,12.2
22,12,2012,37,53,14,0,89.5,41.1,127.5,8,18.1
23,12,2012,36,43,16,0,91.2,46.1,137.7,11.5,24.5
24,12,2012,35,38,15,0,92.1,51.3,147.7,12.2,26.9
25,12,2012,34,40,18,0,92.1,56.3,157.5,14.3,31.1
26,12,2012,33,37,16,0,92.2,61.3,167.2,13.1,30.3
27,12,2012,36,54,14,0,91,65.9,177.3,10,26.1
28,12,2012,35,56,14,0.4,79.2,37,166,2.1,6.1
29,12,2012,35,53,17,0.5,80.2,20.7,149.2,2.7,5.9
30,12,2012,34,49,15,0,89.2,24.8,159.1,8.1,16
31,12,2012,30,59,19,0,89.1,27.8,168.2,9.8,19.4
1,1,2013,29,86,16,0,37.9,0.9,8.2,0.1,0
2,1,2013,28,67,19,0,75.4,2.9,16.3,2,0.8
3,1,2013,28,75,16,0,82.2,4.4,24.3,3.3,2.5
4,1,2013,30,66,15,0.2,73.5,4.1,26.6,1.5,0.7
5,1,2013,30,58,12,4.1,66.1,4,8.4,1,0.4
6,1,2013,34,71,14,6.5,64.5,3.3,9.1,1,0.4
7,1,2013,31,62,15,0,83.3,5.8,17.7,3.8,3.2
8,1,2013,30,88,14,0,82.5,6.6,26.1,3,2.7
9,1,2013,30,80,15,0,83.1,7.9,34.5,3.5,3.7
10,1,2013,29,74,15,1.1,59.5,4.7,8.2,0.8,0.3
11,1,2013,30,73,14,0,79.2,6.5,16.6,2.1,1.2
12,1,2013,31,72,14,0,84.2,8.3,25.2,3.8,3.9
13,1,2013,29,49,19,0,88.6,11.5,33.4,9.1,10.3
14,1,2013,28,81,15,0,84.6,12.6,41.5,4.3,5.7
15,1,2013,32,51,13,0,88.7,16,50.2,6.9,9.8
16,1,2013,33,26,13,0,93.9,21.2,59.2,14.2,19.3
17,1,2013,34,44,12,0,92.5,25.2,63.3,11.2,17.5
18,1,2013,36,33,13,0.1,90.6,25.8,77.8,9,15.4
19,1,2013,29,41,8,0.1,83.9,24.9,86,2.7,5.6
20,1,2013,34,58,13,0.2,79.5,18.7,88,2.1,3.8
21,1,2013,35,34,17,0,92.2,23.6,97.3,13.8,21.6
22,1,2013,33,64,13,0,88.9,26.1,106.3,7.1,13.7
23,1,2013,35,56,14,0,89,29.4,115.6,7.5,15.2
24,1,2013,26,49,6,2,61.3,11.9,28.1,0.6,0.4
25,1,2013,28,70,15,0,79.9,13.8,36.1,2.4,3
26,1,2013,30,65,14,0,85.4,16,44.5,4.5,6.5
27,1,2013,28,87,15,4.4,41.1,6.5,8,0.1,0
28,1,2013,27,87,29,0.5,45.9,3.5,7.9,0.4,0.2
29,1,2013,24,54,18,0.1,79.7,4.3,15.2,1.7,0.7
30,1,2013,24,64,15,0.2,67.3,3.8,16.5,1.2,0.5
31,1,2013,31,24,10,0.4,90.5,23.9,60.6,10.6,16.4
1,2,2013,13.4,75,1.8,0,81.9,3,7.9,3.5,0
2,2,2013,15.2,51,2.7,0,88,17.2,43.5,3.8,0
3,2,2013,16.7,20,3.1,0,83,23.3,85.3,2.3,0
4,2,2013,15.4,66,4,0,94.2,122.3,589.9,12.9,10.13
5,2,2013,21.9,73,7.6,1,91.8,175.1,700.7,13.8,0
6,2,2013,22.4,54,7.6,0,91.8,175.1,700.7,13.8,2.87
7,2,2013,26.8,38,6.3,0,91.8,175.1,700.7,13.8,0.76
8,2,2013,25.7,39,5.4,0,91.8,175.1,700.7,13.8,0.09
9,2,2013,20.7,70,2.2,0,92.2,91.6,503.6,9.6,0.75
10,2,2013,28.7,28,2.7,0,93.1,157.3,666.7,13.5,0
11,2,2013,21.7,40,0.4,0,93.1,157.3,666.7,13.5,2.47
12,2,2013,26.8,25,3.1,0,93.1,157.3,666.7,13.5,0.68
13,2,2013,24,36,3.1,0,93.1,157.3,666.7,13.5,0.24
14,2,2013,22.1,37,3.6,0,93.1,157.3,666.7,13.5,0.21
15,2,2013,21.4,38,2.7,0,91.9,109.2,565.5,8,1.52
16,2,2013,18.9,41,3.1,0,91.6,138.1,621.7,6.3,10.34
17,2,2013,22.3,46,4,0,87.5,77,694.8,5,0
18,2,2013,23.9,41,2.2,0,94.2,117.2,581.1,11,8.02
19,2,2013,21.4,44,2.7,0,94.2,117.2,581.1,11,0.68
20,2,2013,20.6,59,0.9,0,91.8,170.9,692.3,13.7,0
21,2,2013,23.7,40,1.8,0,91.8,170.9,692.3,13.7,1.38
22,2,2013,28.3,32,4,0,93.6,97.9,542,14.4,8.85
23,2,2013,11.2,84,7.6,0,91.6,112.4,573,8.9,3.3
24,2,2013,21.4,42,3.1,0,91.6,112.4,573,8.9,4.25
25,2,2013,19.3,39,3.6,0,91.1,141.1,629.1,7.1,1.56
26,2,2013,21.8,53,3.1,0,94.3,167.6,684.4,13,6.54
27,2,2013,22.1,54,7.6,0,93.7,102.2,550.3,14.6,0.79
28,2,2013,19.4,55,4,0,94.3,131.7,607.1,22.7,0.17
1,3,2013,23.7,24,3.1,0,92.1,152.6,658.2,14.3,0
2,3,2013,21,32,3.1,0,92.1,152.6,658.2,14.3,0
3,3,2013,19.1,53,2.7,0,92.1,152.6,658.2,14.3,4.4
4,3,2013,21.8,56,3.1,0,92.1,152.6,658.2,14.3,0.52
5,3,2013,20.1,58,4.5,0,92.1,152.6,658.2,14.3,9.27
6,3,2013,20.2,47,4,0,92.1,152.6,658.2,14.3,3.09
7,3,2013,4.8,57,8.5,0,84.4,27.2,353.5,6.8,8.98
8,3,2013,5.1,61,8,0,84,27.8,354.6,5.3,11.19
9,3,2013,5.1,61,4.9,0,84.6,26.4,352,2,5.38
10,3,2013,4.6,21,8.5,0,85.4,25.4,349.7,2.6,17.85
11,3,2013,4.6,21,8.5,0,85.4,25.4,349.7,2.6,10.73
12,3,2013,4.6,21,8.5,0,85.4,25.4,349.7,2.6,22.03
13,3,2013,4.6,21,8.5,0,85.4,25.4,349.7,2.6,9.77
14,3,2013,2.2,59,4.9,0,84.7,26.7,352.6,4.1,9.27
15,3,2013,5.1,24,8.5,0,85.4,25.4,349.7,2.6,24.77
16,3,2013,4.2,51,4,0,84.9,27.5,353.5,3.4,0
17,3,2013,8.8,35,3.1,0,86.9,6.6,18.7,3.2,1.1
18,3,2013,7.5,46,8,0,85.2,4.9,15.8,6.3,24.24
19,3,2013,23.4,40,6.3,0,93.9,169.7,411.8,12.3,0
20,3,2013,12.6,90,7.6,0.2,91.2,183.1,437.7,12.5,0
21,3,2013,22.1,49,2.7,0,91.6,104.2,474.9,9,0
22,3,2013,24.2,32,1.8,0,91.6,104.2,474.9,9,0
23,3,2013,24.3,30,1.8,0,91.6,104.2,474.9,9,0
24,3,2013,18.7,53,1.8,0,91.6,104.2,474.9,9,0
25,3,2013,25.3,39,0.9,0,91.6,104.2,474.9,9,8
26,3,2013,22.9,40,1.3,0,91.6,100.2,466.3,6.3,2.64
27,3,2013,26.9,28,5.4,0,93.1,180.4,430.8,11,86.45
28,3,2013,17.1,67,3.6,0,92.3,88.8,440.9,8.5,6.57
29,3,2013,22.2,48,1.3,0,93.1,180.4,430.8,11,0
30,3,2013,14.3,46,1.8,0,90.4,89.5,290.8,6.4,0.9
31,3,2013,15.4,45,2.2,0,90.4,89.5,290.8,6.4,0
